src_path,folder,eb_label,label_name,reason
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2545.jpeg,sad,2,sadness,blurry (76.8)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2589.jpeg,sad,2,sadness,blurry (50.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2590.jpeg,sad,2,sadness,blurry (22.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2994.jpeg,sad,2,sadness,blurry (19.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2995.jpeg,sad,2,sadness,blurry (15.8)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2996.jpeg,sad,2,sadness,blurry (18.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2997.jpeg,sad,2,sadness,blurry (23.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2998.jpeg,sad,2,sadness,blurry (18.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_2999.jpeg,sad,2,sadness,blurry (18.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3001.jpeg,sad,2,sadness,blurry (21.2)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3002.jpeg,sad,2,sadness,blurry (19.9)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3003.jpeg,sad,2,sadness,blurry (20.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3004.jpeg,sad,2,sadness,blurry (14.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3005.jpeg,sad,2,sadness,blurry (20.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3006.jpeg,sad,2,sadness,blurry (23.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3007.jpeg,sad,2,sadness,blurry (21.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3008.jpeg,sad,2,sadness,blurry (18.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3009.jpeg,sad,2,sadness,blurry (21.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3010.jpeg,sad,2,sadness,blurry (17.8)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3011.jpeg,sad,2,sadness,blurry (22.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3012.jpeg,sad,2,sadness,blurry (20.1)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3013.jpeg,sad,2,sadness,blurry (24.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3014.jpeg,sad,2,sadness,blurry (13.4)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3015.jpeg,sad,2,sadness,blurry (18.2)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3016.jpeg,sad,2,sadness,blurry (13.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3017.jpeg,sad,2,sadness,blurry (20.6)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3018.jpeg,sad,2,sadness,blurry (18.7)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3019.jpeg,sad,2,sadness,blurry (21.2)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3020.jpeg,sad,2,sadness,blurry (19.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3021.jpeg,sad,2,sadness,blurry (21.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3022.jpeg,sad,2,sadness,blurry (20.3)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3023.jpeg,sad,2,sadness,blurry (22.0)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3024.jpeg,sad,2,sadness,blurry (20.5)
/Users/pv/Documents/STUDY/CODEprojects/project-1-emotion-aware-chatbot-team14/data/kash_dataset/sad/IMG_3025.jpeg,sad,2,sadness,blurry (20.6)
